2:20	2个
3:50	2个
5:20	2个
6:50	2个
8:20	4个
9:50	4个
11:20	4个
12:50	4个
14:20	4个
15:50	4个
17:20	4个
18:50	4个
20:20	4个
21:50	4个
23:20	4个
24:50	4个
26:20	4个
27:50	4个
29:20	4个
30:50	4个
32:20	4个
33:50	4个
35:20	4个
36:50	4个
38:20	4个
39:50	4个
41:20	4个
42:50	4个
44:20	4个
45:50	4个
47:20	4个
48:50	4个
50:20	4个
51:50	4个
53:20	4个
54:50	4个
56:20	4个
57:50	4个
59:20	4个
60:50	4个
62:20	4个
63:50	4个
65:20	4个
66:50	4个
68:20	4个
69:50	4个
71:20	4个
72:50	4个
74:20	4个
75:50	4个
77:20	4个
78:50	4个
80:20	4个
81:50	4个
83:20	4个
84:50	4个
86:20	4个
87:50	4个
89:20	4个
90:50	4个
92:20	4个
93:50	4个
95:20	4个
96:50	4个
98:20	4个
99:50	4个
